ID,event,dir,audio_volume,visual_type,audio_angle,audio_type,answer,reaction_time,valid
403,69,-1,0,0,-20,0,0,1188,True
405,4,1,0,0,15,0,1,610,True
405,5,-1,0,0,30,0,1,811,True
405,6,1,0,0,20,0,1,543,True
405,7,-1,0,0,-5,0,0,644,True
405,8,1,0,0,-10,0,0,722,True
405,9,-1,0,0,20,0,1,766,True
405,10,1,0,0,-10,0,0,755,True
405,11,-1,0,0,-30,0,0,755,True
405,12,1,0,0,-5,0,0,766,True
405,13,-1,0,0,20,0,1,722,True
405,14,1,0,0,-20,0,0,900,True
405,15,-1,0,0,5,0,1,721,True
405,16,1,0,0,-15,0,0,754,True
405,17,-1,0,0,-15,0,0,721,True
405,18,1,0,0,5,0,1,566,True
405,19,-1,0,0,-10,0,0,655,True
405,20,1,0,0,-15,0,0,733,True
405,21,-1,0,0,-10,0,0,467,True
405,22,1,0,0,5,0,1,533,True
405,23,-1,0,0,-5,0,0,532,True
405,24,1,0,0,30,0,1,523,True
405,25,-1,0,0,30,0,1,922,True
405,26,1,0,0,20,0,1,511,True
405,27,-1,0,0,30,0,1,755,True
405,28,1,0,0,-30,0,0,889,True
405,29,-1,0,0,0,0,0,711,True
405,30,1,0,0,0,0,0,756,True
405,31,-1,0,0,-20,0,0,497,True
405,32,1,0,0,-5,0,0,688,True
405,33,-1,0,0,10,0,1,666,True
405,34,1,0,0,15,0,1,633,True
405,35,-1,0,0,15,0,1,855,True
405,36,1,0,0,20,0,1,655,True
405,37,-1,0,0,-20,0,0,610,True
405,38,1,0,0,-30,0,0,700,True
405,39,-1,0,0,10,0,1,710,True
405,40,1,0,0,-15,0,0,733,True
405,41,-1,0,0,-30,0,0,799,True
405,42,1,0,0,-30,0,0,721,True
405,43,-1,0,0,10,0,1,755,True
405,44,1,0,0,30,0,1,667,True
405,45,-1,0,0,5,0,1,577,True
405,46,1,0,0,0,0,1,799,True
405,47,-1,0,0,0,0,1,844,True
405,48,1,0,0,30,0,1,600,True
405,49,-1,0,0,15,0,1,800,True
405,50,1,0,0,15,0,1,599,True
405,51,-1,0,0,-20,0,0,533,True
405,52,1,0,0,10,0,1,566,True
405,53,-1,0,0,-10,0,0,388,True
405,54,1,0,0,10,0,1,544,True
405,55,-1,0,0,-15,0,0,477,True
405,56,1,0,0,5,0,1,511,True
405,57,-1,0,0,-15,0,0,522,True
405,58,1,0,0,0,0,1,544,True
405,59,-1,0,0,5,0,1,699,True
405,60,1,0,0,-20,0,0,700,True
405,61,-1,0,0,-30,0,0,588,True
405,62,1,0,0,-20,0,0,689,True
405,63,-1,0,0,20,0,1,944,True
405,64,1,0,0,-10,0,0,1333,True
405,65,-1,0,0,15,0,1,722,True
405,66,1,0,0,10,0,1,622,True
405,67,-1,0,0,-5,0,0,700,True
405,68,1,0,0,-5,0,1,832,True
405,69,-1,0,0,0,0,0,511,True
406,4,1,0,0,20,0,1,1577,True
406,5,-1,0,0,30,0,1,1333,True
406,6,1,0,0,10,0,0,1634,True
406,7,-1,0,0,-5,0,1,3009,True
406,8,1,0,0,30,0,1,1099,True
406,9,-1,0,0,0,0,0,1000,True
406,10,1,0,0,30,0,1,1000,True
406,11,-1,0,0,20,0,1,1121,True
406,12,1,0,0,0,0,0,1855,True
406,13,-1,0,0,-20,0,0,1021,True
406,14,1,0,0,5,0,1,1611,True
406,15,-1,0,0,-15,0,0,1266,True
406,16,1,0,0,-5,0,0,910,True
406,17,-1,0,0,0,0,0,2010,True
406,18,1,0,0,-20,0,0,821,True
406,19,-1,0,0,10,0,1,1399,True
406,20,1,0,0,5,0,0,1366,True
406,21,-1,0,0,20,0,1,1232,True
406,22,1,0,0,-30,0,0,1176,True
406,23,-1,0,0,-10,0,0,1178,True
406,24,1,0,0,-20,0,0,1111,True
406,25,-1,0,0,5,0,1,1266,True
406,26,1,0,0,-15,0,0,855,True
406,27,-1,0,0,15,0,1,1010,True
406,28,1,0,0,15,0,1,1089,True
406,29,-1,0,0,15,0,1,811,True
406,30,1,0,0,-5,0,0,1322,True
406,31,-1,0,0,10,0,1,1188,True
406,32,1,0,0,0,0,0,1133,True
406,33,-1,0,0,-30,0,0,1489,True
406,34,1,0,0,-20,0,0,1001,True
406,35,-1,0,0,15,0,1,1078,True
406,36,1,0,0,15,0,1,1133,True
406,37,-1,0,0,-30,0,0,988,True
406,38,1,0,0,10,0,1,1021,True
406,39,-1,0,0,-15,0,0,967,True
406,40,1,0,0,5,0,1,1200,True
406,41,-1,0,0,-10,0,0,1765,True
406,42,1,0,0,-30,0,0,1166,True
406,43,-1,0,0,-5,0,1,1433,True
406,44,1,0,0,10,0,1,988,True
406,45,-1,0,0,30,0,1,1344,True
406,46,1,0,0,30,0,1,1266,True
406,47,-1,0,0,10,0,1,1111,True
406,48,1,0,0,-10,0,0,4019,True
406,49,-1,0,0,0,0,1,1510,True
406,50,1,0,0,-10,0,0,1910,True
406,51,-1,0,0,-10,0,0,1610,True
406,52,1,0,0,20,0,1,1099,True
406,53,-1,0,0,5,0,1,2032,True
406,54,1,0,0,-5,0,0,1766,True
406,55,-1,0,0,20,0,1,1767,True
406,56,1,0,0,-15,0,0,1411,True
406,57,-1,0,0,-5,0,1,1966,True
406,58,1,0,0,-30,0,0,1500,True
406,59,-1,0,0,-20,0,0,1444,True
406,60,1,0,0,-15,0,0,944,True
406,61,-1,0,0,30,0,1,2910,True
406,62,1,0,0,20,0,1,1266,True
406,63,-1,0,0,-15,0,0,1444,True
406,64,1,0,0,0,0,1,1589,True
406,65,-1,0,0,-20,0,0,1733,True
406,66,1,0,0,15,0,1,2354,True
406,67,-1,0,0,-30,0,0,1176,True
406,68,1,0,0,-10,0,1,1266,True
406,69,-1,0,0,5,0,1,1188,True
408,4,1,0,0,-30,0,0,1477,True
408,5,-1,0,0,15,0,1,1610,True
408,6,1,0,0,10,0,1,1588,True
408,7,-1,0,0,-30,0,0,1055,True
408,8,1,0,0,15,0,1,1499,True
408,9,-1,0,0,0,0,0,2999,True
408,10,1,0,0,30,0,1,1644,True
408,11,-1,0,0,5,0,0,2576,True
408,12,1,0,0,-5,0,0,5764,True
408,13,-1,0,0,0,0,0,5652,True
408,14,1,0,0,-15,0,1,3941,True
